timestamp,entry
2025-12-15T03:37:25.714332300,WIN: PLAYER used SparkFox vs BlazeWolf
2025-12-15T03:55:52.487790900,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T03:55:52.571115800,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T03:55:52.690328300,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T03:55:53.035981600,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T03:55:53.204957100,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T03:55:53.384705400,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T04:05:14.768868900,LOSS: Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:05:16.295399800,LOSS: Test used BlazeWolf vs TerraGolem
2025-12-15T04:05:43.703457100,WIN: Test used AquaTurtle vs BlazeWolf (wave 1)
2025-12-15T04:05:44.954104500,WIN: Test used AquaTurtle vs BlazeWolf
2025-12-15T04:25:36.923343700,WIN: Test2 used BlazeWolf vs SparkFox (wave 1)
2025-12-15T04:25:37.955440600,WIN: Test2 used BlazeWolf vs SparkFox
2025-12-15T04:32:36.468966300,WIN: Test Test used BlazeWolf vs SparkFox (wave 1)
2025-12-15T04:32:37.653628200,WIN: Test Test used BlazeWolf vs SparkFox
2025-12-15T04:32:44.360837300,WIN: Test Test used BlazeWolf vs BlazeWolf (wave 1)
2025-12-15T04:32:45.458284100,WIN: Test Test used BlazeWolf vs BlazeWolf
2025-12-15T04:32:55.731115600,WIN: Test Test used BlazeWolf vs BlazeWolf (wave 1)
2025-12-15T04:32:56.967024300,WIN: Test Test used BlazeWolf vs BlazeWolf
2025-12-15T04:33:04.285505600,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:04.488645500,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:04.707221700,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:04.904097200,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:05.087996300,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:05.251297200,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:33:06.106679400,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:33:06.118397800,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:33:06.481173700,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:33:06.806411900,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:33:07.440533300,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:33:07.614952900,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:36:04.324186800,LOSS: Test2 used BlazeWolf vs AquaTurtle (wave 1)
2025-12-15T04:36:05.796497900,LOSS: Test2 used BlazeWolf vs AquaTurtle
2025-12-15T04:40:23.344016500,LOSS: Test Test used BlazeWolf vs TerraGolem (wave 1)
2025-12-15T04:40:23.382109700,LOSS: Test Test used BlazeWolf vs TerraGolem
2025-12-15T04:41:05.664241800,WIN: Test Test used AquaTurtle vs AquaTurtle (wave 1)
2025-12-15T04:41:05.676755800,WIN: Test Test used AquaTurtle vs AquaTurtle
2025-12-15T04:41:23.100587800,WIN: Test Test used AquaTurtle vs AquaTurtle (wave 1)
2025-12-15T04:41:23.110658400,WIN: Test Test used AquaTurtle vs AquaTurtle
2025-12-15T04:41:37.219734800,WIN: Test Test used AquaTurtle vs AquaTurtle (wave 1)
2025-12-15T04:41:37.229233200,WIN: Test Test used AquaTurtle vs AquaTurtle
2025-12-15T04:44:04.357779300,WIN: Test Test used AquaTurtle vs TerraGolem (wave 1)
2025-12-15T04:44:04.433708900,WIN: Test Test used AquaTurtle vs TerraGolem
2025-12-15T04:44:10.472511100,WIN: Test Test used AquaTurtle vs BlazeWolf (wave 1)
2025-12-15T04:44:10.479189600,WIN: Test Test used AquaTurtle vs BlazeWolf
2025-12-15T04:44:22.529783700,WIN: Test Test used AquaTurtle vs AquaTurtle (wave 1)
2025-12-15T04:44:22.539858600,WIN: Test Test used AquaTurtle vs AquaTurtle
